,起始權益,結束權益,總報酬率,年化報酬率(CAGR),最大回落(MaxDD),年化夏普比率,交易筆數,勝率,獲利因子(Profit Factor),平均獲利,平均虧損
"台股(模擬,近似台積電走勢)",1000000.0,1169398.1285565188,0.16939812855651892,0.03179276654421059,-0.2500486443826839,0.2591580272057816,28.0,0.25,1.2047045979793816,142417.55916681947,-39405.94217196276
"美股(模擬,近似大型科技股走勢)",1000000.0,473409.07573601324,-0.5265909242639868,-0.13891243837841494,-0.6280237767762586,-0.8245979472425091,31.0,0.0967741935483871,0.2369030499915062,54493.292564636824,-24645.38578421061
"加密貨幣(模擬,近似比特幣走勢)",1000000.0,697191.7858102001,-0.30280821418979986,-0.06959839193262551,-0.3952761530884622,-0.1266240457240516,46.0,0.2391304347826087,0.7072586934337488,66507.2903882728,-29553.95452745145
